longitud,latitud,address,restaurant,fill_type
14.19821,57.77224,"McDonald´s - Sjukhusgatan 6, Jönköping",mcd,small_red
14.20401,57.77422,"McDonald´s - A6Center, Jönköping",mcd,small_red
17.92978,59.41382,"McDonald´s - Akalla - Finlandsgatan 11, Kista",mcd,small_red
12.0464,57.8952,"McDonald´s - Ale Torg 18, Nödinge",mcd,small_red
12.52961,57.92543,"McDonald´s - Bangatan 7, Alingsås",mcd,small_red
17.97978,59.33288,"McDonald´s - Gustavslundsvägen 26, Bromma",mcd,small_red
12.05020,57.79639,"McDonald´s - Angered Centrum 1, Angered",mcd,small_red
11.97684,57.69938,"McDonald´s - Kungsportsavenyn 32, Göteborg",mcd,small_red
11.95278,57.72129,"McDonald´s - Motorgatan 2, Göteborg",mcd,small_red
17.85689,59.41825,"McDonald´s - Flyginfarten 6, Järfälla",mcd,small_red
16.36407,56.66110,"McDonald´s - Skeppsbrogatan 12, Kalmar",mcd,small_red
16.98062,58.74879,"McDonald´s - Bergshammarvägen 2, Nyköping",mcd,small_red
13.42287,59.37765,"McDonald´s - Frykmans väg 1, Karlstad",mcd,small_red
17.33765,62.44823,"McDonald´s - Birsta, Sundsvall",mcd,small_red
12.93853,57.72034,"McDonald´s - Stora Brogatan 16, Borås",mcd,small_red
15.65372,58.39898,"McDonald´s - Kylarevägen 2A, Linköping",mcd,small_red
17.93831,59.33843,"McDonald´s - Tunnlandet 2, Bromma",mcd,small_red
15.0040,59.0644,"McDonald´s - Brändåsen - Brändåsen, Kumla",mcd,small_red
13.0856,55.6397,"McDonald´s - Kronetorpsvägen 2, Burlöv",mcd,small_red
11.99924,57.77328,"McDonald´s - Transportgatan 8, Hisings Backa",mcd,small_red
18.05921,59.32973,"McDonald´s - Stora hallen, Stockholm",mcd,small_red
12.29022,59.88070,"McDonald´s - Charlottenberg Shopping Center, Charlottenberg",mcd,small_red
17.91601,59.46999,"McDonald´s - Coop Forum, Sollentuna",mcd,small_red
14.84704,56.18793,"McDonald´s - Nyemöllevägen 6, Karlshamn",mcd,small_red
17.83136,59.23666,"McDonald´s - Kumlagårds Väg 30, Norsborg",mcd,small_red
16.46965,59.61322,"McDonald´s - Hallstagårdsgatan 1, Västerås",mcd,small_red
20.29569,63.85232,"McDonald´s - Överstevägen 3, Umeå",mcd,small_red
16.51150,59.37162,"McDonald´s - Kriebsensgatan 6, Eskilstuna",mcd,small_red
13.32799,55.84011,"McDonald´s - Vikhemsvägen 5, Eslöv",mcd,small_red
17.89550,59.60686,"McDonald´s - Eurostop , Arlandastad",mcd,small_red
12.90761,56.65612,"McDonald´s - Eurostop , Halmstad",mcd,small_red
12.51732,56.93158,"McDonald´s - Falkenbergsmotet, Falkenberg",mcd,small_red
13.57251,58.15944,"McDonald´s - Rastvägen 2, Falköping",mcd,small_red
15.65321,60.60781,"McDonald´s - Bataljonsvägen 5, Falun",mcd,small_red
18.09025,59.24275,"McDonald´s - Farstaplan, Farsta",mcd,small_red
16.18879,58.58696,"McDonald´s - Drottninggatan 56, Norrköping",mcd,small_red
16.43030,57.26318,"McDonald´s - S Fabriksgatan 2 B, Oskarshamn",mcd,small_red
