longitud,latitud,address,restaurant
14.19821,57.77224,"McDonald´s - Sjukhusgatan 6, Jönköping",mcd
14.20401,57.77422,"McDonald´s - A6Center, Jönköping",mcd
17.92978,59.41382,"McDonald´s - Akalla - Finlandsgatan 11, Kista",mcd
12.0464,57.8952,"McDonald´s - Ale Torg 18, Nödinge",mcd
12.52961,57.92543,"McDonald´s - Bangatan 7, Alingsås",mcd
17.97978,59.33288,"McDonald´s - Gustavslundsvägen 26, Bromma",mcd
12.05020,57.79639,"McDonald´s - Angered Centrum 1, Angered",mcd
11.97684,57.69938,"McDonald´s - Kungsportsavenyn 32, Göteborg",mcd
11.95278,57.72129,"McDonald´s - Motorgatan 2, Göteborg",mcd
17.85689,59.41825,"McDonald´s - Flyginfarten 6, Järfälla",mcd
16.36407,56.66110,"McDonald´s - Skeppsbrogatan 12, Kalmar",mcd
16.98062,58.74879,"McDonald´s - Bergshammarvägen 2, Nyköping",mcd
13.42287,59.37765,"McDonald´s - Frykmans väg 1, Karlstad",mcd
17.33765,62.44823,"McDonald´s - Birsta, Sundsvall",mcd
12.93853,57.72034,"McDonald´s - Stora Brogatan 16, Borås",mcd
15.65372,58.39898,"McDonald´s - Kylarevägen 2A, Linköping",mcd
17.93831,59.33843,"McDonald´s - Tunnlandet 2, Bromma",mcd
15.0040,59.0644,"McDonald´s - Brändåsen - Brändåsen, Kumla",mcd
13.0856,55.6397,"McDonald´s - Kronetorpsvägen 2, Burlöv",mcd
11.99924,57.77328,"McDonald´s - Transportgatan 8, Hisings Backa",mcd
18.05921,59.32973,"McDonald´s - Stora hallen, Stockholm",mcd
12.29022,59.88070,"McDonald´s - Charlottenberg Shopping Center, Charlottenberg",mcd
17.91601,59.46999,"McDonald´s - Coop Forum, Sollentuna",mcd
14.84704,56.18793,"McDonald´s - Nyemöllevägen 6, Karlshamn",mcd
17.83136,59.23666,"McDonald´s - Kumlagårds Väg 30, Norsborg",mcd
16.46965,59.61322,"McDonald´s - Hallstagårdsgatan 1, Västerås",mcd
20.29569,63.85232,"McDonald´s - Överstevägen 3, Umeå",mcd
16.51150,59.37162,"McDonald´s - Kriebsensgatan 6, Eskilstuna",mcd
13.32799,55.84011,"McDonald´s - Vikhemsvägen 5, Eslöv",mcd
17.89550,59.60686,"McDonald´s - Eurostop , Arlandastad",mcd
12.90761,56.65612,"McDonald´s - Eurostop , Halmstad",mcd
12.51732,56.93158,"McDonald´s - Falkenbergsmotet, Falkenberg",mcd
13.57251,58.15944,"McDonald´s - Rastvägen 2, Falköping",mcd
15.65321,60.60781,"McDonald´s - Bataljonsvägen 5, Falun",mcd
18.09025,59.24275,"McDonald´s - Farstaplan, Farsta",mcd
16.18879,58.58696,"McDonald´s - Drottninggatan 56, Norrköping",mcd
16.43030,57.26318,"McDonald´s - S Fabriksgatan 2 B, Oskarshamn",mcd
18.07452,59.31424,"McDonald´s - Folkungagatan 50, Stockholm",mcd
17.64110,59.85747,"McDonald´s - Smedsgränd/Forumtorget, Uppsala",mcd
11.91617,57.64673,"McDonald´s - Topasgatan 1D, Västra Frölunda",mcd
11.91068,57.65147,"McDonald´s - Frölunda Torg , Västra Frölunda",mcd
17.08429,59.65385,"McDonald´s - Traktorgatan 3, Enköping",mcd
17.68053,59.85842,"McDonald´s - Fålhagsleden 73 , Uppsala",mcd
17.90090,59.54929,"McDonald´s - Rastplats Stora Wäsby, Norrgående, Upplands Väsby",mcd
13.00144,55.60295,"McDonald´s - Gustav AdolfsTorg 2, Malmö",mcd
12.61313,59.66132,"McDonald´s - Åkaregatan 1, Arvika",mcd
16.33614,56.67157,"McDonald´s - Polhemsgatan 6 , Kalmar",mcd
18.08189,59.29318,"McDonald´s - Globen, Johanneshov",mcd
18.30068,57.63769,"McDonald´s - Österväg 9, Visby",mcd
17.141039,60.673912,"McDonald´s - Drottningatan 16-18, Gävle",mcd
